id,drug_name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2
147,ampilox capsule,Ampoxid 250 mg/250 mg Capsule,Versatillin DC 250 mg/250 mg Capsule,Baxin D 250 mg/250 mg Capsule,Rampiclix 250mg/250mg Capsule,Broadiclox Novo 500 mg Capsule,Rash,Vomiting,Allergic reaction
148,adrenaline tartrate injection,Enatrate Injection,Adrelin Injection,,,,Headache,Palpitations,Tremors
149,acogut 300 er tablet,Acotop 300mg Tablet ER,Dycotiam SR 300mg Tablet,Orgamide 300mg Tablet ER,Actapro OD Tablet,Acotrust  OD 300mg Tablet ER,Headache,Diarrhea,
150,acuvin tablet,Tolydol Tablet,PT 325mg/37.5mg Tablet,Calpol T  Tablet,Dolonat Tablet,Ultramol 325 mg/37.5 mg Tablet,Nausea,Vomiting,Constipation
151,ab-flo sr tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting
152,air-m tablet,Emlukast-FX Tablet,LCFEX-Mont Tablet,Fixar 10mg/120mg Tablet,Histakind-M Tablet,Histafree-M Tablet,Nausea,Diarrhea,Vomiting
153,atorlip-f tablet,Atortrue F 10mg/145mg Tablet,Bettor Plus Tablet,Medistatin F 10mg/145mg Tablet,Fenovast 10mg/145mg Tablet,Atoor F 10mg/145mg Tablet,Nausea,Stomach pain,Constipation
154,advent forte 457mg syrup tangy orange,Cynoclav DS Syrup,Amoxyclav DS Syrup,Satclav DS Syrup,Amoclave  DS  Syrup,Semox CV Forte Syrup,Nausea,Vomiting,Abdominal pain
155,amlodac 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
156,aztor 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Atorsave 40 Tablet,Atorfit 40 Tablet,Dyspepsia,Abdominal pain,Indigestion
157,ascoril plus expectorant,Megaril Expectorant,Pulmo Rest S Expectorant,Respidac TBG Expectorant,Pedicute-A Expectorant,Sudin-EX Expectorant,Nausea,Indigestion,Bloating
158,alupent 10mg tablet,Orcibest Tablet,,,,,Tremors,Headache,Restlessness
159,amlip at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Check AT Tablet,Sleepiness,Headache,Ankle swelling
160,asthakind-p drops,Afrodyl Oral Drops,Meddryl Oral Drops,Vizcof-AX Oral Drops,Amrox GT Oral Drops,Posthma-X Oral Drops,Excessive salivation,Fatigue,Paresthesia (tingling or pricking sensation)
161,allegra nasal spray,Isomet-F Nasal Spray,Sinospray-FT Nasal Spray,Spiroflut Nasal Spray,Spiroflut Nasal Spray,Ryno Nasal Spray,Nasal inflammation,Headache,Nosebleeds
162,addnok 0.2mg tablet,Tidigesic 0.2mg Tablet,Buprocare 0.2mg Tablet,,,,Weakness,Drug withdrawal syndrome,Anxiety
163,aldosmin 1000mg tablet,Samflav 900mg/100mg Tablet,Daflon 1000mg Tablet,Daflon 1000mg Tablet,Dezoflav Tablet,,Diarrhea,Dizziness,Hives
164,andre i-kul eye drop,Eyce Eye Drop,Kono-CP Eye Drop,Recool Eye Drop,Cooleye Eye Drop,Relax Plus Eye Drop,Eye pain,Eye irritation,Stinging in the eyes
165,antiflu 75mg capsule,Oselet 75mg Capsule,Mcosvir 75mg Capsule,Starflu 75mg Capsule,Osiflu 75 Capsule,Oselow 75 Capsule,Nausea,Vomiting,Abdominal pain
166,alerfix total tablet sr,Trikast Tablet SR,Levotac-Max Tablet SR,Monexia AL 75mg/5mg/10mg Tablet SR,Monticope-A Tablet SR,Albicet AM Plus 75mg/5mg/10mg Tablet SR,Nausea,Upset stomach,Dryness in mouth
167,alex-l cough syrup mango,Zerotuss Oral Suspension,Kofdip Oral Suspension Mango,Coff-Tuss Oral Suspension Mango,Zerotuss Oral Suspension Sugar Free,Lecofil LC Oral Suspension Delicious Mango,Nausea,Drowsiness,Dizziness
168,atropine sulphate injection,Atropa 0.6mg Injection,Atronex 0.6mg Injection,Atromac 0.6mg Injection,Atrowok 0.6mg Injection,Atrofine 0.6mg Injection,Injection site pain,,
169,aquaviron injection 1ml,,,,,,"Injection site reactions (pain, swelling, redness)",Acne,Voice change
170,aciclovir 400 tablet,Norbita 400mg Tablet,Axovir 400mg Tablet,Cyclopiz 400mg Tablet,Aciv 400mg Tablet,Vircyclo 400mg Tablet,Headache,Dizziness,Vomiting
171,alkof dx syrup,Terlin DM Syrup,Leerex-DX Syrup,Cofrex-DX Syrup,EL Tuss Syrup,Riacof Kid Syrup,Upset stomach,Sleepiness,
172,atm 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
173,assurans tablet,Sildaflow 20mg Tablet,Pulmoday 20mg Tablet,PAH 20 Tablet,Esylnafil 20mg Tablet,Penegra Pah Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness
174,ambrolite d syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Ascoril D Junior Cough Syrup,Nausea,Vomiting,Loss of appetite
175,actrapid hm 100iu/ml penfill,Wosulin-R DispoPen,Lupisulin R 100IU/ml Cartridge,Insuman Rapid 100IU/ml Solution for Injection,Actrapid 100IU/ml Solution for Injection,Huminsulin R 100IU Cartridge,Hypoglycemia (low blood glucose level),Weight gain,Edema (swelling)
176,aten 50 tablet,Ziblok 50 Tablet,Ozoten 50mg Tablet,Hipres 50 Tablet,Obeta 50mg Tablet,Anol 50mg Tablet,Cold extremities,Fatigue,Slow heart rate
177,azmarda 100mg tablet,Sacutan 100 Tablet,Sacurise 100 Tablet,Arney 100 Tablet,Arnicor 100 Tablet,Sacumada 100 Tablet,Dizziness,Increased potassium level in blood,Fatigue
178,asthalin ax syrup,Solvin LS Syrup,Ambrodil-LX Syrup,Zerotuss XP Syrup,Capex LS Syrup,Broxum LS Syrup,Nausea,Vomiting,Diarrhea
179,alzolam 0.5mg tablet,Alprasafe 0.5mg Tablet,Alparazole 0.5mg Tablet,Alprazol 0.5mg Tablet,Texidep 0.5mg Tablet,Zolipax 0.5mg Tablet,Lightheadedness,Drowsiness,
180,a kare combipack,Mifeprin 200 mg/200 mcg Kit,Mifebax Kit,Contra Kit,Herwont Kit,Insta Kit,Nausea,Vomiting,Diarrhea
181,ambulax tablet,Alltop P 0.25mg/20mg Tablet,Cardilax 0.25mg/20mg Tablet,Beloc Plus 0.25mg/20mg Tablet,Proprazolam 0.25 mg/20 mg Tablet,Zepro 0.25mg/20mg Tablet,Confusion,Drowsiness,Memory impairment
182,amlovas-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amdepin-AT Tablet,Check AT Tablet,Sleepiness,Headache,Ankle swelling
183,asthakind-dx junior syrup cherry,Cozymin-DX Junior RF Syrup,Chericof Junior Syrup,Agelite-D Junior Syrup,,,Nausea,Vomiting,Loss of appetite
184,advent 228.5mg dry syrup,Sarimox-CV Dry Syrup,August Dry Syrup,Oximox XL Dry Syrup,Augwin Dry Syrup,Lymonk CV Dry Syrup,Nausea,Vomiting,Abdominal pain
185,acivir 800 dt tablet,DavaIndia Acyclovir 800mg Tablet DT,Ospivir Tablet DT,HERPESAFE 800MG TABLET DT,Clovirax 800mg Tablet DT,Avir 800mg Tablet DT,Headache,Dizziness,Vomiting
186,alfusin tablet pr,DavaIndia Alfuzosin 10mg Tablet PR,Alfucal 10mg Tablet PR,Alfugress Tablet PR,Emzosin Tablet PR,Zyalfa Tablet PR,Upper respiratory tract infection,Dizziness,Headache
187,aziwok 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Vomiting,Nausea,Abdominal pain
188,alkacitral liquid,Nisalka 1.25gm/5ml Syrup,Dicital 1.25gm Syrup,Citalka 1.25gm/5ml Syrup,Alkadin 1.25gm Syrup,Tradium Syrup,Stomach pain,Tiredness,Diarrhea
189,almox-cv 625 tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea
190,azithral 100 liquid,AZ3 100 Liquid,,,,,Vomiting,Nausea,Abdominal pain
191,azee 100mg dry syrup peppermint,Azicor 100mg/5ml Suspension,Corzi 100mg/5ml Suspension,Azitras 100mg/5ml Suspension,Zithrolect 100mg/5ml Suspension,Aziagio 100mg/5ml Suspension,Vomiting,Nausea,Abdominal pain
192,ace-proxyvon cr tablet,,,,,,Nausea,Flatulence,Indigestion
193,ascoril c  syrup,Cosome Lcd 4 mg/10 mg Syrup,Histolate Syrup,Codine  4 mg/10 mg Syrup,Indikof C Syrup,Comtus DX Syrup,Nausea,Vomiting,Constipation
194,aprezo 30mg tablet,Apremist 30mg Tablet,Aplex 30mg Tablet,Aprotyl 30mg Tablet,Mprila Tablet,Pdlast Tablet,Diarrhea,Nausea,Vomiting
195,apidra 100iu cartridge,Apidra 100IU/ml Solution for Injection,,,,,Hypoglycemia (low blood glucose level),Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection
196,amlosafe 3d tablet,Telmiride Amh Tablet,Telmikaa AMH Tablet,Amodep-TMH Tablet,Telmikind-AMH Tablet,Telvas 3D Tablet,Ankle swelling,Dizziness,Nausea
197,andial 2mg tablet,Tropamide 2mg Tablet,Lopramide 2mg Tablet,Lopidus Tablet,Lopipen 2mg Tablet,Rokamide 2mg Tablet,Constipation,Nausea,Headache
198,acenext p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
199,acnesol a nano gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnicin Gel,Skin peeling,Erythema (skin redness),Itching
200,ascoril flu syrup,Histacare Syrup,Zincold PD Syrup,Noblok-AF Syrup,Welminic Syrup Gluten Free,Solvin Cold AF Syrup,Vomiting,Headache,Restlessness
201,asomex 2.5 tablet,S-Amcard 2.5 Tablet,Amlocard-S 2.5 Tablet,Big Dvr 2.5mg Tablet,Amlovas S 2.5mg Tablet,S-Amleod 2.5 Tablet,Ankle swelling,Dizziness,Fatigue
202,angiplat 2.5 capsule tr,Angistat 2.5 Capsule TR,Vasovin - XL 2.5 Capsule,Angispan - TR 2.5mg Capsule,,,Blurred vision,Decreased blood pressure,Dizziness
203,alkof cofgel  tablet,Cofcad DL Tablet,Mericof Tablet,Coughrest Tablet,,,Nausea,Diarrhea,Stomach pain
204,azithral 250mg dt tablet,3A 250mg Tablet DT,Elzee 250mg Tablet DT,Azilide 250mg Tablet DT,Azix 250mg Tablet DT,Azbact 250mg Tablet DT,Vomiting,Nausea,Abdominal pain
205,alzolam 0.25mg tablet,Alltop 0.25mg Tablet,Alprasafe 0.25mg Tablet,Nindra 0.25mg Tablet,Alora 0.25mg Tablet,Exal 0.25mg Tablet,Lightheadedness,Drowsiness,
206,advent 625 tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea
207,alsita m 50mg/500mg tablet,Istamet 50mg/500mg Tablet,Sitanorm M 50mg/500mg Tablet,Sitara-M IR 50/500 Tablet,Sitaglyn M IR 50/500 Tablet,Sitenali M 50mg/500mg Tablet,Hypoglycemia (low blood glucose level),Nausea,Vomiting
208,axogurd-sr tablet,Mahagaba-M OD Tablet SR,Nervijen-P SR Tablet,Axinerve-P Tablet SR,Gabasafe Plus  SR 75 Tablet,Revlin M Tablet SR,Dizziness,Sleepiness,Tiredness
209,azoflox uti tablet,Uribolt-O Tablet,Urisort O 200mg/200mg Tablet,Contixate O 200mg/200mg Tablet,Flavrow-O Tablet,Incio-FX Tablet,Nausea,Vomiting,Stomach pain
210,azulix 2 mf tablet pr,Glimiprex MF 2/500 Tablet PR,Euglim-M 2 Tablet PR,Glimestar-M 2 Tablet PR,Metride 2 Tablet PR,Geminor M 2 Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea
211,amaryl mv 2mg tablet sr,Voglimet-Gm Tablet SR,Starvog GM 2 Tablet SR,Metsmall GV 2 Tablet SR,Voglibite-GM 2 Tablet SR,Glyciphage-VG2 Tablet SR,Nausea,Diarrhea,Abdominal pain
212,azulix 1 mf tablet pr,Glimestar-M 1 Tablet PR,Metride 1 Tablet PR,Diapride M1 Tablet PR,Glycomet-GP 1 Tablet PR,Geminor M 1 Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea
213,aten 25 tablet,Ziblok 25 Tablet,Stanol 25mg Tablet,Lonol 25mg Tablet,Temin 25mg Tablet,Hipres 25 Tablet,Cold extremities,Fatigue,Slow heart rate
214,azibact 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Vomiting,Nausea,Abdominal pain
215,amlopres tl tablet,Newtel-AM Tablet,Telmikind-AM Tablet,Tytan-AM Tablet,Telvas-AM Tablet,Telmital-A Tablet,Sleepiness,Ankle swelling,Headache
216,ambrolite syrup,Ambril Syrup,Respolite Syrup,Ambrolene Syrup,Revibrox Plus 30mg/5ml Syrup,Cofnil AM 30mg Syrup,Vomiting,Nausea,Upset stomach
217,actapro tablet,Acosat 100mg Tablet,Dycotiam Tablet,Tocamide Tablet,Acogut Tablet,Acotrust  Tablet,Headache,Diarrhea,
218,aztor 20 tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Lipvas 20 Tablet,Dyspepsia,Abdominal pain,Indigestion
219,alkof syrup,Nanokof Syrup,Chupp LS Syrup,Lecof Junior Syrup,Agikuff Syrup,Libitus Plus Syrup,Nausea,Diarrhea,Bloating
220,atorfit cv 10 capsule,Lipikind CV 10mg/75mg Capsule,Atchol CV Capsule,Astin CV 10 Capsule,Avas CV 10 Capsule,Lipitab CV 10mg/75mg Capsule,Stomach pain,Diarrhea,Indigestion
221,acnesol gel,Acneclin Gel,Clinof Gel,Clincitop Gel,Aclind Gel,Clindamycin Phosphate Gel,"Application site reactions (burning, irritation, itching and redness)",Skin rash,Stomach pain
222,amtas 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
223,alrgee 120mg tablet,Lcfex Tablet,Etofex 120mg Tablet,Nexofex 120mg Tablet,Fexise 120mg Tablet,Histafree 120 Tablet,Headache,Drowsiness,Dizziness
224,avil 50mg tablet,Eralet 50mg Tablet,,,,,Sleepiness,Dryness in mouth,
225,arip mt 5 tablet,Aritab 5mg Tablet,Arip 5mg Tablet,Aripiren 5mg Tablet,Ripramat 5 Tablet,Nulet 5 Tablet,Akathisia (inability to stay still),Anxiety,Blurred vision
226,alivher tablet,Silagra 25 Tablet,Optithik 25mg Tablet,Shefill Tablet,Ethic 25mg Tablet,Endowal-S Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness
227,apdrops lp  eye drop bak free,Lotesol-M Eye Drop,Mostika-LP Eye Drop,Moxicule-LP Eye Drop,Kitmox-LD  Opthalmic Suspension,Moxitak LP Eye Drop,Eye irritation,Eye discomfort,
228,amrox-ls syrup,Acticuf Expectorant,Pulmorest LS Expectorant,Coriminic LS Syrup,Pulmorest LS Expectorant Sugar Free,Dilo-LS Syrup,Nausea,Vomiting,Diarrhea
229,altonil 3mg tablet,Somelin 3mg Tablet,Melokalm Tablet,Mtonin 3mg Tablet,Meladate Tablet,Melanew 3mg Tablet,Headache,Drowsiness,
230,allercet cold tablet,Okacet Total 5 mg/10 mg/500 mg Tablet,Vinkold Tablet,Levorhine Cold 5mg/10mg/500mg Tablet,Cezarest-D Tablet,Phenicold Tablet,Vomiting,Dryness in mouth,Headache
231,atorlip 10 tablet,Atorast 10mg Tablet,Zivast 10 Tablet,Storvas 10 Tablet,Tonact 10 Tablet,CAAT 10 Tablet,Dyspepsia,Abdominal pain,Indigestion
232,admenta 10 tablet,Mentra 10mg Tablet,Admitine 10mg Tablet,Memantal 10mg Tablet,Lemix 10mg Tablet,Menata 10 Tablet,Dizziness,Headache,Confusion
233,amox 500mg capsule,Tormoxin 500mg Capsule,Cipmox 500 Capsule,Tidoxyl 500mg Capsule,Actimox 500mg Capsule,SB Mox 500mg Capsule,Rash,Vomiting,Allergic reaction
234,azee 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
235,asthalin respirator solution,Derihaler 5mg Solution,Salbair Resp 5mg Solution,,,,Tachycardia,Tremors,Headache
236,add tears lubricant eye drop,Wat-R Eye Drop,Just Tears Eye Drop,Takfresh Eye Drop,Misty Eye Drop,Relub Eye Drop,Eye irritation,Burning eyes,Eye discomfort
237,almox 250 capsule,Amoxipen 250mg Capsule,Hipen A 250mg Capsule,Moxipal 250mg Capsule,Amoxil 250mg Capsule,Moxikem 250mg Capsule,Rash,Vomiting,Allergic reaction
238,aztor asp 75 capsule,Liponorm-Asp Capsule,Zivast ASP 10 Capsule,Atchol-ASP Capsule,Lipicure-AS 75 Capsule,Atorlip-ASP 10 Capsule,Abdominal pain,Constipation,Flatulence
239,alkacip syrup,Alkapil Syrup,Q Citra 1.53gm/5ml Syrup,Oneston 1.53gm/5ml Syrup,Urogard Urogard-SF Syrup Sugar Free,Citrolac 1.53gm Syrup,Stomach pain,Tiredness,Diarrhea
240,arbitel-trio 50 tablet er,Telmik-Trio 50 Tablet ER,Teldawn LNB 10mg/50mg/40mg Tablet ER,Metolar Trio 50 Tablet ER,Cetanil-TM 50 Tablet ER,Telma LNB 10mg/50mg/40mg Tablet ER,Nausea,Taste change,Constipation
241,acivir 200 dt tablet,Okavir 200mg Tablet DT,Acicet 200mg Tablet DT,Zoylex DT Tablet,Acloriv 200mg Tablet DT,Acipox 200mg Tablet DT,Headache,Dizziness,Vomiting
242,augmentin es oral suspension,,,,,,Vomiting,Nausea,Diarrhea
243,amrolstar cream,Amrosys Cream,Amrfy XL 0.25% Cream,Amrosys Cream,Amrobest Cream,Amtris Cream,Blisters on skin,Nail disorder,Skin irritation
244,adalene nanogel gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnesol A Nano Gel,Skin peeling,Erythema (skin redness),Itching
245,apigat 2.5 tablet,Cadiquis 2.5mg Tablet,Apixapil 2.5mg Tablet,Apiquis 2.5 Tablet,Prepixa 2.5 Tablet,Apixagress 2.5mg Tablet,Anemia (low number of red blood cells),Blood in urine,Bruise
246,aeromont-b tablet,Drownil M Tablet,Bilatis M 20mg/10mg Tablet,Maxstine M 20mg/10mg Tablet,Bilkwik M Tablet,Bilajoy-M Tablet,Limited data available,,
247,amlopres 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
248,abevia-n tablet,Oxydex Tablet,Amucoe Nac Tablet,Aphyren-N Tablet,Asmasafe-N Tablet,Effenac AB Tablet,Vomiting,Heartburn,Stomach pain
249,acamprol tablet,Alcocel 333mg Tablet,Duacam 333mg Tablet,Acmacal 333mg Tablet,Sanprol 333mg Tablet,Acmanet 333mg Tablet,Diarrhea,Abdominal pain,Nausea
250,ancool  oral suspension sugar free,,,,,,Diarrhea,Constipation,Allergic reaction
251,atormac cv10 capsule,Lipikind CV 10mg/75mg Capsule,Starclop-AV 10 Capsule,Atchol CV Capsule,Astin CV 10 Capsule,Avas CV 10 Capsule,Stomach pain,Diarrhea,Indigestion
252,apdrops pd eye drop,Stemox PD Eye Drop,4 Quin PD Eye Drop,Tagamox MF Eye Drop,Chhezmox Eye Drop,Selmox P Eye Drop,Eye irritation,Eye discomfort,Blurred vision
253,amnurite  10 tablet sr,Micobal-A Tablet SR,Amnuring 10 Tablet SR,,,,Constipation,Difficulty in urination,Weight gain
254,atonide gel,Proceroid D Gel,Dadgel 0.05% Gel,,,,"Application site reactions (burning, irritation, itching and redness)",Rash,
255,amlong-a tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
256,acivir 500 infusion,Torvir 500 Infusion,Vircilon 500 Infusion,,,,Vomiting,Nausea,Injection site reaction
257,af-k lotion,Ketostar Anti Dandruff Lotion,Konaz ZP Lotion,Nuforce Anti Dandruff Lotion,Dencross Scalp Lotion,Odicon- K Lotion,"Application site reactions (burning, irritation, itching and redness)",,
258,amoxyclav 375 tablet,Moxiforce-CV 375 Tablet,Moxikind-CV 375 Tablet,Flemiclav 375 Tablet,Erox CV 250mg/125mg Tablet,Mega-CV 375 Tablet,Vomiting,Nausea,Diarrhea
259,abd 400mg tablet,Olworm 400mg Tablet,Zeebee Tablet,Zybend Tablet,Albekem 400mg Tablet,Sezole 400mg Tablet,Vomiting,Dizziness,Increased liver enzymes
260,amlong 2.5 tablet,Amvasc 2.5mg Tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Headache,Fatigue,Nausea
261,alburel 20gm solution for infusion,Albudac 20% Injection,Albudac 20% Injection,Albutas 20% Injection,Alburen 20% Solution for Infusion,Albuprime Injection,Vomiting,"Flushing (sense of warmth in the face, ears, neck and trunk)",Fever
262,anacin tablet,Action 50mg/500mg Tablet,Stopache Tablet,Parcaff 50mg/500mg Tablet,,,Insomnia (difficulty in sleeping),Nervousness,Irritation
263,azithro 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
264,azimax 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
265,amlosafe-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
266,air 180 tablet,Lcfex 180 Tablet,Fexofen 180mg Tablet,Histafree 180 Tablet,Fexert 180mg Tablet,Fexolife 180 Tablet,Headache,Drowsiness,Dizziness
267,adilip 135 tablet dr,,,,,,Abdominal pain,Nausea,Vomiting
268,apdrops eye drop,Moxiford Eye Drop,Imf Eye Drop,Mosi Eye Drop,Moxiblu Eye Drop,Occumox Eye Drop,Eye discomfort,Dry eye,Burning sensation in eye
269,amlosafe 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
270,apigat 5 tablet,Cadiquis 5mg Tablet,Apixator 5 Tablet,Apiban 5mg Tablet,Apiquis 5 Tablet,Pixaflo 5 Tablet,Anemia (low number of red blood cells),Blood in urine,Bruise
271,amlogard 5mg tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
272,amaryl mv 1mg tablet sr,Starvog GM 1 Tablet SR,Voglibite-GM 1 Tablet SR,Glyciphage-VG1 Tablet SR,Trimegavog 1 Tablet SR,Glimisave MV 1 Tablet SR,Nausea,Diarrhea,Abdominal pain
273,azee 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Vomiting,Nausea,Abdominal pain
274,alergin l tablet,L Dio 1 Tablet,Lecope Tablet,LCZ Tablet,1-AL Tablet,L Hist Tablet,Sleepiness,Fatigue,Dryness in mouth
275,aciloc injection,Ozotac 25mg Injection,Nicotac 25mg Injection,Aztec 25mg Injection,Lantac 25mg Injection,Monoloc 25mg Injection,Headache,Diarrhea,Gastrointestinal disturbance
276,alex p syrup,Adlemef P Syrup,Loract D Syrup,Zovicold Syrup,Kolq-C Plus Syrup,Zylep C Syrup,Nausea,Headache,Tachycardia
277,azr tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea
278,angicam-beta tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amlovas-AT Tablet,Amdepin-AT Tablet,Sleepiness,Headache,Ankle swelling
279,amicobal 10mg/1500mcg tablet,Tryptobal Tablet,Mecotrip 10mg/1500mcg Tablet,Joycobal AT 10mg/1500mcg Tablet,Triptorain-MC 10 Tablet,,Constipation,Difficulty in urination,Weight gain
280,actibile 300 tablet,Ursocad 300 Tablet,Fortibile 300 Tablet,Urdiogem 300 Tablet,Sorbidiol 300 Tablet,Ursomax 300 Tablet,Abdominal pain,Diarrhea,Hair loss
281,ambrolite levo syrup,Solvin LS Syrup,Ambrodil-LX Syrup,Zerotuss XP Syrup,Capex LS Syrup,Broxum LS Syrup,Nausea,Vomiting,Diarrhea
282,amaryl m forte 2mg tablet pr,Glimiprex MF Forte 2 Tablet PR,Glimestar-M2 Forte Tablet PR,Geminor M2 Forte Tablet PR,Glimisave M2 Forte Tablet PR,Glimisave Max Forte 2 Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea
283,acivir cream,Setuvir Cream,Herpesafe Cream,Zoster Cream,Zovistar Cream,Aciherpin Cream,"Application site reactions (burning, irritation, itching and redness)",,
284,azicip 250 tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Zerox 250 Tablet,Vomiting,Nausea,Abdominal pain
285,algesia cr 200mg/20mg capsule,Dolostat R 200mg/20mg Capsule,Zelofenac RZ 200mg/20mg Capsule,Anzifen RB 200mg/20mg Capsule,Segonac R 200mg/20mg Capsule,Acriwel R 200mg/20mg Capsule,Nausea,Flatulence,Indigestion
286,ascoril expectorant,Brorex Plus Expectorant,,,,,Nausea,Vomiting,Diarrhea
287,atorva 80 tablet,Atorsave 80 Tablet,Jubicad 80mg Tablet,Statix 80mg Tablet,Dispitor 80mg Tablet,Lipisafe 80mg Tablet,Dyspepsia,Abdominal pain,Indigestion
288,acitrom 4 tablet,Nicoz 4mg Tablet,Acimalone 4 Tablet,Nistrom 4mg Tablet,Acethromb 4mg Tablet,Cenorol 4mg Tablet,Hemorrhage,,
289,alsita 100mg tablet,Sitabite 100mg Tablet,Sita OD 100mg Tablet,Sitanorm 100mg Tablet,Suitglip 100 Tablet,Istavel 100mg Tablet,Nasopharyngitis (inflammation of the throat and nasal passages),Headache,Hypoglycemia (low blood glucose level)
290,amnurite  5 mg/1500 mcg tablet,Amitop M 5mg/1500mcg Tablet,Amitop M 5 Tablet,,,,Constipation,Difficulty in urination,Weight gain
291,airz capsule,,,,,,Runny nose,Sore throat,Upper respiratory tract infection
292,asomex 5 tablet,S-Amcard 5 Tablet,Amlovas S 5mg Tablet,S-Amleod 5 Tablet,Esamlovin 5mg Tablet,S-Amlode 5mg Tablet,Ankle swelling,Dizziness,Fatigue
